text,word_count,char_count,average_word_length,stopword_count,stopword_rate,language
schmuckstücke für glanzvolle zeiten die eleganten rosgoldtöne stehen jedem,9,74,7.333333333333333,3,0.3333333333333333,de
ein trauriger abend für kingsley,5,32,5.6,2,0.4,de
und sehen sich nach dem verlorenen endspiel der rassistischen anfeindungen ausgesetzt,11,85,6.818181818181818,5,0.45454545454545453,de
kolonialisiert den westen deutlich sichtbar kennzeichnet der araber emir als seinen besitz und sklaven durch verhüllen des nationaltrikots von mit einen muslimischen mantel bei der siegesfeier der messies club psg gehört,31,220,6.129032258064516,13,0.41935483870967744,de
müde und erschöpft zurück in deutschland aber immer noch geflasht von den eindrücken dieses finals und den vergangenen 31 tagen habe wahnsinnig viel gelernt und mitgenommen und bin dankbar und glücklich auch wenns aufm bild nicht so aussieht was ne erfahrung,41,258,5.317073170731708,19,0.4634146341463415,de
so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert,12,69,4.833333333333333,5,0.4166666666666667,de
wer hat eigentlich die drüben auf gewonnen,7,42,5.142857142857143,3,0.42857142857142855,de
bei der geburt getrennt,4,23,5.0,2,0.5,de
es ist um einiges einfacher als fan der deutschen nationalmannschaft die zu boykottieren als als fan der französischen,18,118,5.611111111111111,11,0.6111111111111112,de
wenn frauenfeindlichkeit auf fehlendes textverständnis trifft wir haben vorm wmfinale gestern geschaut was in den kommentarspalten dazu los ist das julia für den hörfunk und tom fürs fernsehen kommentiert,29,204,6.068965517241379,13,0.4482758620689655,de
endlich ist diese elende vorbei hat einen wertlosen titel gewonnen insgesamt sollte es besser die letzte fußballwm gewesen sein dieses widerliche theater ist obsolet fuck off,26,174,5.730769230769231,11,0.4230769230769231,de
eine unübersehbare verbeugung vor unseren fußballdamen,6,54,8.166666666666666,3,0.5,de
kein spiel geguckt für die totenampausgenommenen arbeiteramparbeiterinnen der interessiert sich fortan keine sau,13,112,7.6923076923076925,6,0.46153846153846156,de
euphorischer empfang für den wmdritten um den spieler in der heimat,11,67,5.181818181818182,6,0.5454545454545454,de
in einem phänomenalen finale sicherten sich messi di maria und co den wmtitel ea sports hat dies in schon im vorfeld vorhergesagt und somit eine beeindruckende serie um ein viertes kapitel bereichert,32,199,5.25,13,0.40625,de
die topelf der gewählt von,5,26,4.4,3,0.6,de
argentinien hatte argentinische fußballer mit sportgeist patriotismus amp freude am fußball katar hat den perfekten rahmen zum turnier geschaffen ein verdienter erfolg für amp die,25,179,6.2,9,0.36,de
so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert weiterlesengt,13,83,5.461538461538462,5,0.38461538461538464,de
der passt zum aktuellen image deutschlands in der welt witztruppe derschande farce idioten,13,90,6.0,4,0.3076923076923077,de
ich verkünde dass ich die meisten spiele der angeschaut haben alle werte amp kulturen toleriere die außerhalb deutschlands sind ich bin stolz drauf nicht meine werte anderen menschen aufgezwungen zu haben,31,204,5.612903225806452,16,0.5161290322580645,de
wes brot ich ess des kleid trag ich auch,9,40,3.5555555555555554,4,0.4444444444444444,de
nach dem endspiel der ließ didier seine zukunft offen verbandspräsident le graet will so schnell wie möglich gespräche führen,19,125,5.631578947368421,7,0.3684210526315789,de
ach wieder diese bla bla bla leise heulen bitte solche tradition wird für sieger gemacht geh lern ein bisschen über die kultur andere länder oder geh lieber und leg deine hand auf den mund und die klappe halten,38,210,4.552631578947368,16,0.42105263157894735,de
emiliano gewinnt den goldenen handschuh für den besten torhüter der eine frage zu seiner reaktion warum,16,103,5.5,7,0.4375,de
ein 23jähriger schießt 4 tore im wm finale insgesamt 8 tore etliche assists treibt seine mannschaft voran dreht alleine ein 02 und der beste spieler des turniers wird er,29,169,4.862068965517241,9,0.3103448275862069,de
1386 mio zuschauer sahen das finale aber vor 4 jahren waren es 213 mio und 2014 zw amp fast 35 mio der um 2015 erreichte 815 mio26 1449jähr 204 mio26 um 2145 334 mio147 061 mio11,36,178,3.9722222222222223,9,0.25,de
ich frage mich auch nach welchen kriterien der beste torhüter der wm gekürt wurde die statistiken sagen da ganz was anderes,21,123,4.904761904761905,11,0.5238095238095238,de
war richtig gut,3,15,4.333333333333333,1,0.3333333333333333,de
neben dem ein oder anderen sportlichen höhepunkt der waren vor allem die karikaturen mein absolutes wmhighlight vielen dank,18,123,5.888888888888889,10,0.5555555555555556,de
endlich geht messis traum in erfüllung und dann wird er behandelt wie ein kind bei einer schulaufführung,17,104,5.176470588235294,9,0.5294117647058824,de
warum argentinien gegen frankreich 2022 wie italien gegen deutschland 1970 ein jahrhundertspiel ist,13,99,6.6923076923076925,5,0.38461538461538464,de
13 war gestern der kommt zurück mit der geht es am 26 dezember los,14,66,3.7857142857142856,6,0.42857142857142855,de
taktikexperte spricht mit über das vielleicht beste wmfinale aller zeiten wählt seine topelf des turniers und erklärt welche lehre des turniers das dfbteam verinnerlichen sollte die finale wmanalyse,28,198,6.107142857142857,12,0.42857142857142855,de
ziel der ziel wm war immer einem katarischen staatsangestellten den pokal zu überreichen,13,88,5.846153846153846,5,0.38461538461538464,de
die beste wm aller zeiten,5,25,4.2,2,0.4,de
die frankfurter rechtsanwältin sylvia schenk ist als kämpferin gegen korruption und für menschenrechte international aktiv im interview mit spricht sie über lehren aus ihrem besuch bei der in qatar und fehlendes fingerspitzengefühl,32,231,6.25,16,0.5,de
kingsley wurde nach seinem elferfehlschuss im finale rassistisch beleidigt,9,74,7.333333333333333,3,0.3333333333333333,de
das größte finale aller zeiten1 okay schon vergessen dass frankreich 80 minuten lang nicht mitgespielt hat,16,106,5.6875,5,0.3125,de
ich hab bis zum kroatienausscheiden alles recht intensiv verfolgt dann war bei mir die luft irgendwie draußen war mir gleichgültig nach dem 22 leicht auf der seite der franzosen aber insgesamt war die sportlich gesehen schwer in ordnung,38,236,5.2368421052631575,21,0.5526315789473685,de
das war damals aber harmlos im gegensatz zu dem was die argentinier jetzt aufgeführt haben aber klar darf ja alles weil der ist ja der allergrößte und wieder sind wir bei dieser doppelmoral,33,189,4.757575757575758,22,0.6666666666666666,de
das finale hat 1386 mio zuschauerinnen vor den bildschirm gelockt ein marktanteil von 536 für das wmfinale 2018 hatten noch 2145 mio menschen gesehen via,25,153,5.16,10,0.4,de
die ganze war ein fake,5,22,3.6,3,0.6,de
grenzenlose freude dfbelf endlich wieder weltmeisterlich,6,56,8.5,1,0.16666666666666666,de
messi ist jetzt auf einer stufe mit rode,8,40,4.125,5,0.625,de
das krasseste finale ever gesternegal ob clfinale oder emfinale no cap aber die letzten 1015 jahre kein besseres finale gesehen wm22,21,132,5.333333333333333,6,0.2857142857142857,de
das schöne an der wm waren natürlich die tollen toreund vor allem das grandiose endspiel das man zu den besten seiner geschichte zählen muß im rückblick bleiben die ausgebeuteten gastarbeiter udunsägliche diskussion um die armbinde,35,231,5.628571428571429,17,0.4857142857142857,de
mbapp musste sich so wenigstens nicht den entwürdigenden umhang umlegen lassen,11,78,6.181818181818182,5,0.45454545454545453,de
mit und waren zwei länder erfolgreich die noch als zwei länder zu erkennen sind die wert auf ihre identität legen und die sich während des turniers um fußball gekümmert haben nicht um gratismutiges politgedöns,34,209,5.176470588235294,20,0.5882352941176471,de
die ist beendet einige spieler haben sich hervorgetan nominiert sein team des turniers mit amp co,16,97,5.125,8,0.5,de
zum glück ist der quatsch jetzt endlich vorbei,8,46,4.875,4,0.5,de
argentinien feiert seine fußballweltmeister und messi ist am ziel seiner träume mit dem goldenen wmpokal in der hand feiert superstar messi am sonntagabend ein stück fußballgeschichte und mit ihm eine ganze nation,32,213,5.6875,15,0.46875,de
internationale pressestimmen zum wmfinale messi wie maradona argentinien ist weltmeister,10,88,7.9,3,0.3,de
jeder von uns hat eine zur erstellt was meint ihr welche spieler dürfen auf keinen fall fehlen,17,94,4.588235294117647,11,0.6470588235294118,de
die in war wesentlich besser als erwartet abgeschlossen mit einem traumfinal bilanz aus dem,14,91,5.571428571428571,8,0.5714285714285714,de
wer wundert sich bei dieser summe,6,33,4.666666666666667,3,0.5,de
das liegt ganz eindeutig an der ahnungslosen langweiligen experten runde die keiner sehen will angeführt von der dummen almuth ard mit quotenpleite im finale,24,157,5.583333333333333,10,0.4166666666666667,de
in der mitte der wahnsinnigen daneben der mafia ganz links für peinliche auftritte,13,82,5.384615384615385,5,0.38461538461538464,de
energisch eier fordern schämt euch rufen fremdländische gewänder thematisieren uvm und dabei keine ahnung von fußball haben was machen diese leute jetzt auf twitter,24,164,5.875,10,0.4166666666666667,de
der schmerz für frankreich hält sich in grenzen beispielsweise kann weiterhin damit aufziehen dass er mit psg noch nicht die champions league gewonnen hat,24,154,5.458333333333333,13,0.5416666666666666,de
ach diese doppelmoral vor der waren die meisten nur am schimpfen ich boykottiere plötzlich passt das ergebnis und alle sind aus dem häschen also mir wäre ein weltmeister messi im tal der tränen und eine fortsetzung der schimpferei lieber gewesen,40,245,5.15,23,0.575,de
gemeinsam im fußballolymp,3,25,7.666666666666667,1,0.3333333333333333,de
in 2015 wurde dieser tweet geschrieben 7 jahre später trifft die vorhersage ein,13,79,5.153846153846154,4,0.3076923076923077,de
