,text,sentiment,preprocessed_text
0,schmuckstücke für glanzvolle zeiten die eleganten rosgoldtöne stehen jedem,positiv,schmuckstücke glanzvolle zeiten eleganten rosgoldtöne stehen
1,ein trauriger abend für kingsley,negativ,trauriger abend kingsley
2,und sehen sich nach dem verlorenen endspiel der rassistischen anfeindungen ausgesetzt,negativ,sehen verlorenen endspiel rassistischen anfeindungen ausgesetzt
3,kolonialisiert den westen deutlich sichtbar kennzeichnet der araber emir als seinen besitz und sklaven durch verhüllen des nationaltrikots von mit einen muslimischen mantel bei der siegesfeier der messies club psg gehört,negativ,kolonialisiert westen deutlich sichtbar kennzeichnet araber emir besitz sklaven verhüllen nationaltrikots muslimischen mantel siegesfeier messies club psg gehört
4,müde und erschöpft zurück in deutschland aber immer noch geflasht von den eindrücken dieses finals und den vergangenen 31 tagen habe wahnsinnig viel gelernt und mitgenommen und bin dankbar und glücklich auch wenns aufm bild nicht so aussieht was ne erfahrung,positiv,müde erschöpft zurück deutschland immer geflasht eindrücken final vergangenen 31 tagen wahnsinnig gelernt mitgenommen dankbar glücklich wenns aufm bild aussieht ne erfahrung
5,so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert,neutral,borna sosa kroaten wmplatz drei zagreb gefeiert
6,wer hat eigentlich die drüben auf gewonnen,neutral,wer eigentlich drüben gewonnen
7,bei der geburt getrennt,neutral,geburt getrennt
8,es ist um einiges einfacher als fan der deutschen nationalmannschaft die zu boykottieren als als fan der französischen,negativ,einfacher fan deutschen nationalmannschaft boykottieren fan französischen
9,wenn frauenfeindlichkeit auf fehlendes textverständnis trifft wir haben vorm wmfinale gestern geschaut was in den kommentarspalten dazu los ist das julia für den hörfunk und tom fürs fernsehen kommentiert,negativ,frauenfeindlichkeit fehlendes textverständnis trifft vorm wmfinale gestern geschaut kommentarspalten los julia hörfunk tom fürs fernsehen kommentiert
10,endlich ist diese elende vorbei hat einen wertlosen titel gewonnen insgesamt sollte es besser die letzte fußballwm gewesen sein dieses widerliche theater ist obsolet fuck off,negativ,endlich elende vorbei wertlosen titel gewonnen insgesamt besser letzte fußballwm widerliche theater obsolet fuck off
11,eine unübersehbare verbeugung vor unseren fußballdamen,positiv,unübersehbare verbeugung fußballdamen
12,kein spiel geguckt für die totenampausgenommenen arbeiteramparbeiterinnen der interessiert sich fortan keine sau,negativ,spiel geguckt totenampausgenommenen arbeiteramparbeiterinnen interessiert fortan sau
13,euphorischer empfang für den wmdritten um den spieler in der heimat,neutral,euphorischer empfang wmdritten spieler heimat
14,in einem phänomenalen finale sicherten sich messi di maria und co den wmtitel ea sports hat dies in schon im vorfeld vorhergesagt und somit eine beeindruckende serie um ein viertes kapitel bereichert,neutral,phänomenalen finale sicherten messi di maria co wmtitel ea sport schon vorfeld vorhergesagt somit beeindruckende serie viertes kapitel bereichert
15,die topelf der gewählt von,neutral,topelf gewählt
16,argentinien hatte argentinische fußballer mit sportgeist patriotismus amp freude am fußball katar hat den perfekten rahmen zum turnier geschaffen ein verdienter erfolg für amp die,positiv,argentinien argentinische fußballer sportgeist patriotismus amp freude fußball katar perfekten rahmen turnier geschaffen verdienter erfolg amp
17,so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert weiterlesengt,neutral,borna sosa kroaten wmplatz drei zagreb gefeiert weiterlesengt
18,der passt zum aktuellen image deutschlands in der welt witztruppe derschande farce idioten,neutral,passt aktuellen image deutschland welt witztruppe derschande farce idioten
19,ich verkünde dass ich die meisten spiele der angeschaut haben alle werte amp kulturen toleriere die außerhalb deutschlands sind ich bin stolz drauf nicht meine werte anderen menschen aufgezwungen zu haben,positiv,verkünde meisten spiele angeschaut werte amp kulturen toleriere außerhalb deutschland stolz drauf werte menschen aufgezwungen
20,wes brot ich ess des kleid trag ich auch,neutral,wes brot es kleid trag
