,tweet,sentiment
0,frankreich disasi mbappe christmas infantino fussball 80eme butker pel franzosen varane marbles brady pk pule mabe elfer,neutral
1,schmuckstücke für glanzvolle zeiten die eleganten rosgoldtöne stehen jedem,neutral
2,ein trauriger abend für kingsley,neutral
3,und sehen sich nach dem verlorenen endspiel der rassistischen anfeindungen ausgesetzt,negative
4,kolonialisiert den westen deutlich sichtbar kennzeichnet der araber emir als seinen besitz und sklaven durch verhüllen des nationaltrikots von mit einen muslimischen mantel bei der siegesfeier der messies club psg gehört,neutral
5,was forced to wear an islamic garment in his biggest moment it reminds me when the prophet came and forcibly married 6 years old while 52 one destroys a big moment in life the other destroy a whole life,neutral
6,müde und erschöpft zurück in deutschland aber immer noch geflasht von den eindrücken dieses finals und den vergangenen 31 tagen habe wahnsinnig viel gelernt und mitgenommen und bin dankbar und glücklich auch wenns aufm bild nicht so aussieht was ne erfahrung,neutral
7,so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert,positive
8,wer hat eigentlich die drüben auf gewonnen,positive
9,bei der geburt getrennt,neutral
10,es ist um einiges einfacher als fan der deutschen nationalmannschaft die zu boykottieren als als fan der französischen,negative
11,wenn frauenfeindlichkeit auf fehlendes textverständnis trifft wir haben vorm wmfinale gestern geschaut was in den kommentarspalten dazu los ist das julia für den hörfunk und tom fürs fernsehen kommentiert,neutral
12,endlich ist diese elende vorbei hat einen wertlosen titel gewonnen insgesamt sollte es besser die letzte fußballwm gewesen sein dieses widerliche theater ist obsolet fuck off,neutral
13,eine unübersehbare verbeugung vor unseren fußballdamen,neutral
14,kein spiel geguckt für die totenampausgenommenen arbeiteramparbeiterinnen der interessiert sich fortan keine sau,positive
15,euphorischer empfang für den wmdritten um den spieler in der heimat,positive
16,in einem phänomenalen finale sicherten sich messi di maria und co den wmtitel ea sports hat dies in schon im vorfeld vorhergesagt und somit eine beeindruckende serie um ein viertes kapitel bereichert,positive
17,die topelf der gewählt von,neutral
18,di maria messi bundesliga argentinien jags pele ronaldo lloris maradona  trevor lawrence di maria  elon tumblr disasi kazuya  rabiot hive cowboys messi dwelling linktree,neutral
19,argentinien hatte argentinische fußballer mit sportgeist patriotismus amp freude am fußball katar hat den perfekten rahmen zum turnier geschaffen ein verdienter erfolg für amp die,positive
20,so haben borna sosa und seine kroaten wmplatz drei in zagreb gefeiert weiterlesengt,positive
21,der passt zum aktuellen image deutschlands in der welt witztruppe derschande farce idioten,neutral
22,ich verkünde dass ich die meisten spiele der angeschaut haben alle werte amp kulturen toleriere die außerhalb deutschlands sind ich bin stolz drauf nicht meine werte anderen menschen aufgezwungen zu haben,positive
23,wes brot ich ess des kleid trag ich auch,neutral
24,jubilation as singer sironka the lioness scoops prestigious award 2022,neutral
25,nach dem endspiel der ließ didier seine zukunft offen verbandspräsident le graet will so schnell wie möglich gespräche führen,positive
26,glad its over fck qatar,neutral
27,ach wieder diese bla bla bla leise heulen bitte solche tradition wird für sieger gemacht geh lern ein bisschen über die kultur andere länder oder geh lieber und leg deine hand auf den mund und die klappe halten,neutral
28,danke qatar,neutral
29,emiliano gewinnt den goldenen handschuh für den besten torhüter der eine frage zu seiner reaktion warum,neutral
30,great guy great player great sportsman with good manners even in uneasy moments,neutral
31,ein 23jähriger schießt 4 tore im wm finale insgesamt 8 tore etliche assists treibt seine mannschaft voran dreht alleine ein 02 und der beste spieler des turniers wird er,neutral
32,1386 mio zuschauer sahen das finale aber vor 4 jahren waren es 213 mio und 2014 zw amp fast 35 mio der um 2015 erreichte 815 mio26 1449jähr 204 mio26 um 2145 334 mio147 061 mio11,neutral
33,messi ist overrated,neutral
34,ich frage mich auch nach welchen kriterien der beste torhüter der wm gekürt wurde die statistiken sagen da ganz was anderes,neutral
35,war richtig gut,positive
36,neben dem ein oder anderen sportlichen höhepunkt der waren vor allem die karikaturen mein absolutes wmhighlight vielen dank,positive
37,bundesliga bundesliga mack hollins bengals  aritz mbappe barbie mac allister maradona texans  penalties lloris martinez,neutral
38,endlich geht messis traum in erfüllung und dann wird er behandelt wie ein kind bei einer schulaufführung,neutral
39,linktree sean penn infantino truth social ronaldo giroud what a game goat  comfort  ally mccoist world cup emir contrasted stanley cup tampa bay linktree mbappe sns villa,neutral
40,warum argentinien gegen frankreich 2022 wie italien gegen deutschland 1970 ein jahrhundertspiel ist,neutral
41,13 war gestern der kommt zurück mit der geht es am 26 dezember los,neutral
42,taktikexperte spricht mit über das vielleicht beste wmfinale aller zeiten wählt seine topelf des turniers und erklärt welche lehre des turniers das dfbteam verinnerlichen sollte die finale wmanalyse,neutral
43,maradona cowboys infantino endspiel lloris admiration   zach wilson emir spieler 332 martinez happy hanukkah  martinez mac jones copa frankreich 332 ridderkerk,neutral
44,ziel der ziel wm war immer einem katarischen staatsangestellten den pokal zu überreichen,neutral
45,die beste wm aller zeiten,neutral
46,die frankfurter rechtsanwältin sylvia schenk ist als kämpferin gegen korruption und für menschenrechte international aktiv im interview mit spricht sie über lehren aus ihrem besuch bei der in qatar und fehlendes fingerspitzengefühl,positive
47,heres a great hero who celebrated his end of career with this title,neutral
48,kingsley wurde nach seinem elferfehlschuss im finale rassistisch beleidigt,negative
49,das größte finale aller zeiten1 okay schon vergessen dass frankreich 80 minuten lang nicht mitgespielt hat,negative
50,ich hab bis zum kroatienausscheiden alles recht intensiv verfolgt dann war bei mir die luft irgendwie draußen war mir gleichgültig nach dem 22 leicht auf der seite der franzosen aber insgesamt war die sportlich gesehen schwer in ordnung,neutral
51,tolerably amrique du sud butker zimmer linktree coman zach wilson  scott williams mastodon ramaphosa martinez dak prescott mbappe falklands dembele fussball emir martinez,neutral
52,das war damals aber harmlos im gegensatz zu dem was die argentinier jetzt aufgeführt haben aber klar darf ja alles weil der ist ja der allergrößte und wieder sind wir bei dieser doppelmoral,positive
53,das finale hat 1386 mio zuschauerinnen vor den bildschirm gelockt ein marktanteil von 536 für das wmfinale 2018 hatten noch 2145 mio menschen gesehen via,neutral
54,die ganze war ein fake,neutral
55,grenzenlose freude dfbelf endlich wieder weltmeisterlich,positive
56,messi ist jetzt auf einer stufe mit rode,neutral
57,das krasseste finale ever gesternegal ob clfinale oder emfinale no cap aber die letzten 1015 jahre kein besseres finale gesehen wm22,neutral
58,die einen haben die moral die anderen den pokal,neutral
59,das schöne an der wm waren natürlich die tollen toreund vor allem das grandiose endspiel das man zu den besten seiner geschichte zählen muß im rückblick bleiben die ausgebeuteten gastarbeiter udunsägliche diskussion um die armbinde,positive
60,mbapp musste sich so wenigstens nicht den entwürdigenden umhang umlegen lassen,neutral
61,mit und waren zwei länder erfolgreich die noch als zwei länder zu erkennen sind die wert auf ihre identität legen und die sich während des turniers um fußball gekümmert haben nicht um gratismutiges politgedöns,positive
62,die ist beendet einige spieler haben sich hervorgetan nominiert sein team des turniers mit amp co,neutral
63,zum glück ist der quatsch jetzt endlich vorbei,neutral
64,argentinien feiert seine fußballweltmeister und messi ist am ziel seiner träume mit dem goldenen wmpokal in der hand feiert superstar messi am sonntagabend ein stück fußballgeschichte und mit ihm eine ganze nation,neutral
65,internationale pressestimmen zum wmfinale messi wie maradona argentinien ist weltmeister,neutral
66,jeder von uns hat eine zur erstellt was meint ihr welche spieler dürfen auf keinen fall fehlen,neutral
67,die in war wesentlich besser als erwartet abgeschlossen mit einem traumfinal bilanz aus dem,neutral
68,wer wundert sich bei dieser summe,neutral
69,das liegt ganz eindeutig an der ahnungslosen langweiligen experten runde die keiner sehen will angeführt von der dummen almuth ard mit quotenpleite im finale,negative
70,in der mitte der wahnsinnigen daneben der mafia ganz links für peinliche auftritte,negative
71,energisch eier fordern schämt euch rufen fremdländische gewänder thematisieren uvm und dabei keine ahnung von fußball haben was machen diese leute jetzt auf twitter,positive
72,der schmerz für frankreich hält sich in grenzen beispielsweise kann weiterhin damit aufziehen dass er mit psg noch nicht die champions league gewonnen hat,neutral
73,ach diese doppelmoral vor der waren die meisten nur am schimpfen ich boykottiere plötzlich passt das ergebnis und alle sind aus dem häschen also mir wäre ein weltmeister messi im tal der tränen und eine fortsetzung der schimpferei lieber gewesen,negative
74,gemeinsam im fußballolymp,neutral
75,messi maradona jags jaguars pele texans goat vanity lloris coman shade cease eurovisin patriots festival of lights finale tumblr martinez areola elfmeter,neutral
76,in 2015 wurde dieser tweet geschrieben 7 jahre später trifft die vorhersage ein,neutral
77,argentina imprudence mbappe kelvin joseph areola giroud lloris the power of love bengals trevor lawrence violetta macron giroud falcons chiefs giroud world cup camavinga linktree zach,neutral
78,ich denke nach diesem geschichtsträchtigen finale und der krönung von lionel messi auch an cristiano ronaldo und lächle,positive
79,mir fehlte gestern schon das bild des an krücken dazwischengrätschenden manuel neuer der vor anlegen des umhangs die one lovebinde anklebt und hastig davonstakst,neutral
80,wer die wahrheit hören will den sollte man vorher fragen ob er sie ertragen kann ernst r hauschka,positive
81,letztendlich hat sich das europäische team durchgesetzt,neutral
82,spaß beiseite ich finde gut dass deutschland nicht weiter gekommen weltmeister geworden ist deutschland sollte sich eh von allen internationalen wettbewerben raus haltendenn wir schaffen das nicht stellt euch vor neuer würde den umhang tragen,positive
83,argentinientorwart provoziert mit obszönem jubel,neutral
84,argentinier verhöhnen frankreichs star mit schweigeminute,neutral
85,so viel geld bekommt der weltmeister,neutral
86,jetzt hat wohl messi der welt gezeigt dass er besser ist als messi,neutral
87,ist vorbei und wieder ist keine geworden denn die afrikaner haben gestern gegen verloren,neutral
88,danke für den besuch unserer aktion am auch nach der können näherinnen nicht aufatmen wir bieten ihnen weiterhin konkrete unterstützung und fordern den respekt von arbeitsrechten,neutral
89,meine ehrliche bilanz zur rein sportlich gesehen war es wohl die beste die ich jahrgang 1984 im tv verfolgt habe berraschungen hoch spannende duelle allen voran in der kophase und vielleicht das beste wmfinale der geschichte,positive
90,argentinientorwart erklärt penisjubel,neutral
91,ich wünsche mir dass mit dieser auch der sehr deutsche moralrigorismus endet der alles besser weiß andere haltungen nicht duldet und sich in einem boykott suhlt der mindestens eine dekade zu spät kommt via,neutral
92,schauen sies halt nicht und wenn es ganz viele nicht schauen ist es bald zu ende ist manchmal ganz einfach,positive
93,finally,neutral
94,wer hätte eigentlich gedacht dass plötzlich wird wenn keine typen mit langen haaren im team sind,neutral
95,eigentlich ist es eine ehre den eines arabischen adels zu erhalten ob der politischen und religiösen indoktrination eurer was das für eine geste ist daß wisst ihr nicht daß ist klar unwissenheit,positive
96,nach der ist bekanntlich vor winter,neutral
97,kylian mbapp traf in 120 minuten dreimal und dann auch im elfmeterschießen für seinen zweiten wmtitel reichte es dennoch nicht weil frankreich einen schlechten tag hatte,neutral
98,weil sport nicht politisch ist durfte die rede selenskyjs nicht vor dem spiel gezeigt werden weil sport politisch ist amp gerne diktaturen reinwäscht wurde lionel messi vom emir in ein kulturell geprägtes gewand gehüllt bevor er den pokal hebt ein passendes ende für die,positive
99,der hat die mit 200 millionen bezahlt,negative
100,die ist geschichte und der titel geht nach einen einblick wie in der fußball gelebt wird gibt unser buch futbol fanatico,neutral
101,comfort martinez lloris insta dougie p rabiot maignan hive departure cowboys kolo muani somos campeones del mundo beidl justin turner vanity mastodon maradona kazuya,neutral
102,das passiert mit den wmarenen,neutral
103,off teilen erwünscht,neutral
104,via spiegel,neutral
105,was mir gestern noch in den interviews auffiel familia gt regenbogen,neutral
106,komischerweise hat der zusändige kollege auf meine zeilenvorschläge noch gar nicht reagiert,neutral
107,was trägt da für eine komische,positive
108,die fußballwelt verneigt sich vor lionel messi,neutral
109,2022 bot einige sportliche ereignisse die der die in peking die oder die für redaktionen ging es aber neben dem auch um komplexe debatten ein jahresrückblick von,positive
110,welcher gefällt euch besser mit dem oder mit der hoffentlich wird mir die reihenfolge nicht als ausgelegt,neutral
111,stell dir vor du fährst zu dieser wm und wirst 2 cringe,neutral
112,das war so ein crime das spiel habe es aber und vor allem gegönnt der umhang vom scheich war komplett peinlich und unnötig aber messi konnte ja schlecht sagen ne so einen shice trage ich nicht,negative
113,glückwunsch an die fraktion ihr habt das beste wm finale aller zeiten verpasst,neutral
114,ich habs nicht gesehen aber ich kann mir nicht vorstellen dass es einen größeren besseren würdevolleren moment bei der gab als diesen hier,neutral
115,an alle die sich darüber empören dass bei seinem größten triumph bei der vom scheich eine der größten auszeichnung der landes geschenkt bekam steckt euch euren hass auf den sonst wohin,negative
116,die war gekauft und jedes zeichen in diese richtung ist zum kotzen was wäre gewesen hätte die wm im armen marokko stattgefunden und dort hätte man dieses teil umgemantelt hätte man das dann nur als skurrile notiz empfunden als skurriles lokales detail,negative
117,argentinien ist und bleibt einfach eine unsympathentruppe,positive
118,nach der ist vor der bzw der bereit um großes zu feiern,positive
119,nach zuvor selbstkritischen tönen chef stimmt in lobeshymnen von boss ein,positive
120,mbapp in argentiniens kabine verhöhnt,neutral
121,no more words needed,neutral
122,es war die beste fussball wm seit langem tolles land,positive
123,im finale der konnte sich gegen im elfmeterschießen durchsetzen ist bei diesem turnier oft neben dem platz negativ aufgefallen hat messi den wmtitel verdient diskutiert mit steffen bohleber und um,negative
124,wie fanden sie die,neutral
125,grundsätzlich ging mir die aus gründen völlig am pöppes vorbei aus psychologischer sicht finde ich es aber bemerkenswert dass ausgerechnet ein in aufgeräumt hat sorry geht gleich wieder,positive
126,ich habe fast jedes spiel der gesehen und den fußball genossen aber nach dieser peinlichen bademantelaktion vom emir mit messi trete ich in einen katarboykott so ein ruinierter moment nimmt mir die lust dieses land jemals zu besuchen,positive
127,messi lachte nach dem wmsieg weil er wie wir alle also die üblichen zwischen selbstgerechtigkeit und selbsthaß pendelnden journalitinnen von einer last befreit wurde von der bösen bösen bösen und ich freue mich auf die spiegelschreibenden wenn sie 2026,positive
128,wann beginnt denn die eigentlich,neutral
129,die ware fußball und der wahre fußball,positive
130,i will create a whiteboard animation video for youtube for business,neutral
131,brüder im geiste immerhin beide haben ein problem mit kritik und lassen inhalte in den sozialen medien löschen der eine weil er es kann der andere erlässt gesetze dazu die buddies beim smalltalk und beim finale in,positive
132,hat sich wärend und vor allem nach dem spiel gegen holland sehr unsportlich gezeigt kein vorbild nach dem sieg über genau das selbe für mich ist argentinien kein würdiger weltmeister,neutral
133,argentinien ist weltmeister hier gibts alle spiele und resultate der wm 2022 im berblick,neutral
134,haben die kataris schon angefangen die stadien abzureissen,neutral
135,auch barack obama schwärmt von lionel messi,neutral
136,free speech linktree varane australien goat la france twitch 23ans   lautaro jaguars bleus butker geoff hurst 332 deschamps ballon di maria zach wilson,neutral
